,Interactor_A_ID,Interactor_B_ID
0,STM2168,STM2439
1,STM0264,STM0798
2,STM0558,STM1340
3,STM2999,STM3000
4,STM1398,STM1396
5,STM3865,STM3867
6,STM2335,STM3065
7,STM2676,STM3416
8,STM2433,STM4086
9,STM1401,STM2896
10,STM1084,STM3578
11,STM2235,STM2240
12,STM3330,STM4425
13,STM1407,STM2630
14,STM2299,STM2303
15,STM3332,STM4407
16,STM2721,STM4057
17,STM1332,STM2098
18,STM0557,STM2768
19,STM1184,STM1960
20,STM1863,STM2801
21,STM0216,STM3433
22,STM2043,STM2455
23,STM0112,STM3448
24,STM1392,STM3296
25,STM0849,STM2796
26,STM0928,STM1129
27,STM0287,STM4425
28,STM4017,STM4022
29,STM1393,STM1417
30,STM1515,STM1572
31,STM0736,STM0739
32,STM0349,STM4057
33,STM2938,STM4535
34,STM0814,STM1065
35,STM3418,STM4151
36,STM0229,STM0535
37,STM1118,STM3552
38,STM1811,STM2581
39,STM2395,STM4319
40,STM0761,STM1350
41,STM1365,STM3214
42,STM1887,STM3369
43,STM2283,STM4086
44,STM2056,STM2624
45,STM0819,STM1274
46,STM2314,STM3138
47,STM3345,STM3435
48,STM2739,STM2772
49,STM0549,STM1345
50,STM1796,STM1929
51,STM1855,STM2885
52,STM1881,STM3025
53,STM1026,STM1599
54,STM2114,STM2115
55,STM3636,STM3641
56,STM1228,STM3256
57,STM0855,STM3130
58,STM3340,STM3592
59,STM0508,STM2755
60,STM0419,STM4163
61,STM1987,STM2160
62,STM1977,STM1981
63,STM0834,STM2402
64,STM3602,STM3846.s
65,STM0179,STM3049
66,STM3033,STM3034
67,STM1058,STM2526
68,STM3391,STM3828
69,STM1240,STM3478
70,STM3973,STM3975
71,STM2064,STM2718
72,STM1280,STM1921
73,STM1336,STM4152
74,STM0174,STM0237
75,STM1145,STM1728
76,STM0484,STM0646
77,STM0523,STM2705
78,STM0685,STM2433
79,STM0191,STM3486
80,STM3325,STM4292
81,STM0583,STM4367
82,STM0294,STM4540.S
83,STM0058,STM2516
84,STM0963,STM2161
85,STM2336,STM2393
86,STM2424,STM3607
87,STM1336,STM3439
88,STM0865,STM3375
89,STM0012,STM4237
90,STM0217,STM4154
91,STM2135,STM4442
92,STM0292,STM0294
93,STM1296,STM2243
94,STM0756,STM4580.S
95,STM2952,STM4146
96,STM0271,STM0284
97,STM0588,STM1737
98,STM1514,STM2325
99,STM1364,STM3935
100,STM3974,STM3975
101,STM0068,STM1226
102,STM1224,STM1401
103,STM0349,STM2721
104,STM4486,STM4489
105,STM2102,STM3928
106,STM1634,STM2513
107,STM0618,STM0660
108,STM0037,STM0080
109,STM0750,STM1478
110,STM1791,STM2786
111,STM2587,STM3031
112,STM1383,STM2548
113,STM1228,STM2586
114,STM0264,STM4237
115,STM0588,STM4550
116,STM3421,STM3430
117,STM1430,STM4445
118,STM2722,STM2730
119,STM0833,STM1070
120,STM3557,STM3853
121,STM3023,STM4239
122,STM1955,STM2330
123,STM1092,STM1669
124,STM1296,STM2951
125,STM1537,STM3506
126,STM1089,STM2903
127,STM1726,STM2077
128,STM2136,STM3223
129,STM3685,STM3686
130,STM0192,STM3159
131,STM0130,STM0132
132,STM4226,STM4515
133,STM4312,STM4318
134,STM0999,STM1751
135,STM0773,STM4023
