,Interactor_A_ID,Interactor_B_ID,weight
0,STM0002,STM0003,323
1,STM0003,STM0002,323
2,STM0002,STM0067,411
3,STM0067,STM0002,411
4,STM0002,STM0097,436
5,STM0097,STM0002,436
6,STM0002,STM0221,173
7,STM0221,STM0002,173
8,STM0002,STM0245,554
9,STM0245,STM0002,554
10,STM0002,STM0247,214
11,STM0247,STM0002,214
12,STM0002,STM0447,219
13,STM0447,STM0002,219
14,STM0002,STM0472,369
15,STM0472,STM0002,369
16,STM0002,STM0511,214
17,STM0511,STM0002,214
18,STM0002,STM0603,738
19,STM0603,STM0002,738
20,STM0002,STM0680,918
21,STM0680,STM0002,918
22,STM0002,STM0691,222
23,STM0691,STM0002,222
24,STM0002,STM0734,222
25,STM0734,STM0002,222
26,STM0002,STM0847,938
27,STM0847,STM0002,938
28,STM0002,STM0972,246
29,STM0972,STM0002,246
30,STM0002,STM0983,171
31,STM0983,STM0002,171
32,STM0002,STM0998,441
33,STM0998,STM0002,441
34,STM0002,STM1124,371
35,STM1124,STM0002,371
36,STM0002,STM1198,370
37,STM1198,STM0002,370
38,STM0002,STM1294,600
39,STM1294,STM0002,600
40,STM0002,STM1557,739
41,STM1557,STM0002,739
42,STM0002,STM1826,459
43,STM1826,STM0002,459
44,STM0002,STM2071,158
45,STM2071,STM0002,158
46,STM0002,STM2110,369
47,STM2110,STM0002,369
48,STM0002,STM2154,171
49,STM2154,STM0002,171
50,STM0002,STM2196,459
51,STM2196,STM0002,459
52,STM0002,STM2331,774
53,STM2331,STM0002,774
54,STM0002,STM2360,166
55,STM2360,STM0002,166
56,STM0002,STM2362,371
57,STM2362,STM0002,371
58,STM0002,STM2369,871
59,STM2369,STM0002,871
60,STM0002,STM2402,538
61,STM2402,STM0002,538
62,STM0002,STM2441,158
63,STM2441,STM0002,158
64,STM0002,STM2489,843
65,STM2489,STM0002,843
66,STM0002,STM2792,404
67,STM2792,STM0002,404
68,STM0002,STM2945,246
69,STM2945,STM0002,246
70,STM0002,STM2971,459
71,STM2971,STM0002,459
72,STM0002,STM3013,166
73,STM3013,STM0002,166
74,STM0002,STM3015,567
75,STM3015,STM0002,567
76,STM0002,STM3042,178
77,STM3042,STM0002,178
78,STM0002,STM3106,883
79,STM3106,STM0002,883
80,STM0002,STM3161,824
81,STM3161,STM0002,824
82,STM0002,STM3240,459
83,STM3240,STM0002,459
84,STM0002,STM3290,437
85,STM3290,STM0002,437
86,STM0002,STM3295,170
87,STM3295,STM0002,170
88,STM0002,STM3325,246
89,STM3325,STM0002,246
90,STM0002,STM3421,162
91,STM3421,STM0002,162
92,STM0002,STM3539,850
93,STM3539,STM0002,850
94,STM0002,STM3598,883
95,STM3598,STM0002,883
96,STM0002,STM3624A,558
97,STM3624A,STM0002,558
98,STM0002,STM3699,581
99,STM3699,STM0002,581
100,STM0002,STM3721,246
101,STM3721,STM0002,246
102,STM0002,STM3903,370
103,STM3903,STM0002,370
104,STM0002,STM3965,301
105,STM3965,STM0002,301
106,STM0002,STM4091,170
107,STM4091,STM0002,170
108,STM0002,STM4100,309
109,STM4100,STM0002,309
110,STM0002,STM4101,568
111,STM4101,STM0002,568
112,STM0002,STM4105,173
113,STM4105,STM0002,173
114,STM0002,STM4121,342
115,STM4121,STM0002,342
116,STM0002,STM4188,446
117,STM4188,STM0002,446
118,STM0002,STM4220,568
119,STM4220,STM0002,568
120,STM0002,STM4246,170
121,STM4246,STM0002,170
122,STM0002,STM4248,441
123,STM4248,STM0002,441
124,STM0002,STM4326,768
125,STM4326,STM0002,768
126,STM0002,STM4343,222
127,STM4343,STM0002,222
128,STM0002,STM4366,840
129,STM4366,STM0002,840
130,STM0002,STM4459,851
131,STM4459,STM0002,851
132,STM0002,STM4460,851
133,STM4460,STM0002,851
134,STM0002,STM4510,567
135,STM4510,STM0002,567
136,STM0003,STM0004,973
137,STM0004,STM0003,973
138,STM0003,STM0064,198
139,STM0064,STM0003,198
140,STM0003,STM0458,336
141,STM0458,STM0003,336
142,STM0003,STM0472,567
143,STM0472,STM0003,567
144,STM0003,STM1198,816
145,STM1198,STM0003,816
146,STM0003,STM1542,172
147,STM1542,STM0003,172
148,STM0003,STM1557,806
149,STM1557,STM0003,806
150,STM0003,STM2110,567
151,STM2110,STM0003,567
152,STM0003,STM2430,336
153,STM2430,STM0003,336
154,STM0003,STM2440,336
155,STM2440,STM0003,336
156,STM0003,STM2546,197
157,STM2546,STM0003,197
158,STM0003,STM2792,662
159,STM2792,STM0003,662
160,STM0003,STM2851,202
161,STM2851,STM0003,202
162,STM0003,STM3082,172
163,STM3082,STM0003,172
164,STM0003,STM3161,483
165,STM3161,STM0003,483
166,STM0003,STM3215,676
167,STM3215,STM0003,676
168,STM0003,STM3526,192
169,STM3526,STM0003,192
170,STM0003,STM3903,816
171,STM3903,STM0003,816
172,STM0003,STM3918,212
173,STM3918,STM0003,212
174,STM0003,STM3965,863
175,STM3965,STM0003,863
176,STM0003,STM4100,483
177,STM4100,STM0003,483
178,STM0003,STM4101,323
179,STM4101,STM0003,323
180,STM0003,STM4188,950
181,STM4188,STM0003,950
182,STM0003,STM4220,323
183,STM4220,STM0003,323
184,STM0004,STM0078,174
185,STM0078,STM0004,174
186,STM0004,STM0222,197
187,STM0222,STM0004,197
188,STM0004,STM0328,171
189,STM0328,STM0004,171
190,STM0004,STM0458,384
191,STM0458,STM0004,384
192,STM0004,STM0648,212
193,STM0648,STM0004,212
194,STM0004,STM0934,727
195,STM0934,STM0004,727
196,STM0004,STM0977,722
197,STM0977,STM0004,722
198,STM0004,STM1000,340
199,STM1000,STM0004,340
200,STM0004,STM1002,554
201,STM1002,STM0004,554
202,STM0004,STM1004,201
203,STM1004,STM0004,201
204,STM0004,STM1221,164
205,STM1221,STM0004,164
206,STM0004,STM1351,174
207,STM1351,STM0004,174
208,STM0004,STM1486,171
209,STM1486,STM0004,171
210,STM0004,STM1505,174
211,STM1505,STM0004,174
212,STM0004,STM1562,215
213,STM1562,STM0004,215
214,STM0004,STM1784,214
215,STM1784,STM0004,214
216,STM0004,STM1928,211
217,STM1928,STM0004,211
218,STM0004,STM2197,269
219,STM2197,STM0004,269
220,STM0004,STM2430,384
221,STM2430,STM0004,384
222,STM0004,STM2440,384
223,STM2440,STM0004,384
224,STM0004,STM2569,269
225,STM2569,STM0004,269
226,STM0004,STM3244,878
227,STM3244,STM0004,878
228,STM0004,STM3612,207
229,STM3612,STM0004,207
230,STM0004,STM3828,174
231,STM3828,STM0004,174
232,STM0004,STM3905,952
233,STM3905,STM0004,952
234,STM0004,STM3996,816
235,STM3996,STM0004,816
236,STM0004,STM4424,158
237,STM4424,STM0004,158
238,STM0004,STM4427,158
239,STM4427,STM0004,158
240,STM0004,STM4436,158
241,STM4436,STM0004,158
