,Interactor_A_ID,Interactor_B_ID
0,SAOUHSC_01952,SAOUHSC_02885
1,SAOUHSC_01100,SAOUHSC_01263
2,SAOUHSC_01030,SAOUHSC_01100
3,SAOUHSC_00882,SAOUHSC_00991
4,SAOUHSC_01005,SAOUHSC_01949
5,SAOUHSC_01263,SAOUHSC_01437
6,SAOUHSC_00146,SAOUHSC_00991
7,SAOUHSC_00890,SAOUHSC_01262
8,SAOUHSC_01125,SAOUHSC_01949
9,SAOUHSC_01316,SAOUHSC_02171
10,SAOUHSC_01376,SAOUHSC_01382
11,SAOUHSC_00146,SAOUHSC_00882
12,SAOUHSC_00617,SAOUHSC_02855
13,SAOUHSC_01005,SAOUHSC_01125
14,SAOUHSC_00141,SAOUHSC_00143
15,SAOUHSC_02171,SAOUHSC_02834
16,SAOUHSC_00230,SAOUHSC_00760
17,SAOUHSC_00060,SAOUHSC_00773
18,SAOUHSC_00401,SAOUHSC_00402
19,SAOUHSC_02706,SAOUHSC_02972
20,SAOUHSC_00882,SAOUHSC_02816
21,SAOUHSC_01263,SAOUHSC_01685
22,SAOUHSC_01382,SAOUHSC_02762
23,SAOUHSC_00118,SAOUHSC_00122
24,SAOUHSC_01030,SAOUHSC_02261
25,SAOUHSC_00035,SAOUHSC_02883
26,SAOUHSC_00146,SAOUHSC_02816
27,SAOUHSC_00991,SAOUHSC_02883
28,SAOUHSC_00882,SAOUHSC_02883
29,SAOUHSC_01376,SAOUHSC_02768
30,SAOUHSC_00401,SAOUHSC_02448
31,SAOUHSC_01376,SAOUHSC_02762
32,SAOUHSC_00427,SAOUHSC_02887
33,SAOUHSC_00035,SAOUHSC_02815
34,SAOUHSC_01938,SAOUHSC_01942
35,SAOUHSC_00060,SAOUHSC_00427
36,SAOUHSC_00146,SAOUHSC_02883
37,SAOUHSC_00665,SAOUHSC_00868
38,SAOUHSC_01263,SAOUHSC_01684
39,SAOUHSC_01652,SAOUHSC_01683
40,SAOUHSC_00991,SAOUHSC_02816
41,SAOUHSC_01684,SAOUHSC_01952
42,SAOUHSC_01382,SAOUHSC_02768
43,SAOUHSC_00284,SAOUHSC_01949
44,SAOUHSC_00284,SAOUHSC_01005
45,SAOUHSC_00060,SAOUHSC_00671
46,SAOUHSC_00035,SAOUHSC_00670
47,SAOUHSC_01447,SAOUHSC_02803
48,SAOUHSC_00741,SAOUHSC_02261
49,SAOUHSC_01114,SAOUHSC_02706
50,SAOUHSC_00117,SAOUHSC_00953
51,SAOUHSC_00015,SAOUHSC_02001
52,SAOUHSC_00230,SAOUHSC_01879
53,SAOUHSC_00317,SAOUHSC_00804
54,SAOUHSC_01868,SAOUHSC_01869
55,SAOUHSC_01938,SAOUHSC_01941
56,SAOUHSC_00060,SAOUHSC_00738
57,SAOUHSC_00608,SAOUHSC_01376
58,SAOUHSC_00918,SAOUHSC_01125
59,SAOUHSC_01376,SAOUHSC_02769
60,SAOUHSC_00818,SAOUHSC_02972
61,SAOUHSC_00390,SAOUHSC_00666
62,SAOUHSC_00035,SAOUHSC_00665
63,SAOUHSC_01437,SAOUHSC_02669
64,SAOUHSC_00859,SAOUHSC_02274
65,SAOUHSC_01358,SAOUHSC_02001
66,SAOUHSC_00671,SAOUHSC_02887
67,SAOUHSC_00284,SAOUHSC_01125
68,SAOUHSC_00918,SAOUHSC_01949
69,SAOUHSC_01941,SAOUHSC_01942
70,SAOUHSC_01085,SAOUHSC_02108
71,SAOUHSC_00329,SAOUHSC_01262
72,SAOUHSC_02098,SAOUHSC_02834
73,SAOUHSC_01935,SAOUHSC_01936
74,SAOUHSC_02563,SAOUHSC_02641
75,SAOUHSC_00060,SAOUHSC_02576
76,SAOUHSC_00232,SAOUHSC_02821
77,SAOUHSC_00918,SAOUHSC_01005
78,SAOUHSC_01263,SAOUHSC_02669
79,SAOUHSC_00865,SAOUHSC_01879
80,SAOUHSC_00314,SAOUHSC_00316
81,SAOUHSC_01938,SAOUHSC_01939
82,SAOUHSC_02099,SAOUHSC_02834
83,SAOUHSC_00427,SAOUHSC_02979
84,SAOUHSC_01939,SAOUHSC_01942
85,SAOUHSC_02563,SAOUHSC_02640
86,SAOUHSC_01403,SAOUHSC_01935
87,SAOUHSC_02816,SAOUHSC_02883
88,SAOUHSC_01684,SAOUHSC_02821
89,SAOUHSC_00060,SAOUHSC_02883
90,SAOUHSC_00608,SAOUHSC_01382
91,SAOUHSC_02815,SAOUHSC_02883
92,SAOUHSC_00738,SAOUHSC_02576
93,SAOUHSC_00064,SAOUHSC_00694
94,SAOUHSC_00105,SAOUHSC_02274
95,SAOUHSC_00674,SAOUHSC_02669
96,SAOUHSC_00545,SAOUHSC_01879
97,SAOUHSC_01382,SAOUHSC_02769
98,SAOUHSC_00314,SAOUHSC_02298
99,SAOUHSC_00502,SAOUHSC_01684
100,SAOUHSC_00502,SAOUHSC_01685
101,SAOUHSC_01114,SAOUHSC_02972
102,SAOUHSC_01275,SAOUHSC_02303
103,SAOUHSC_00469,SAOUHSC_01850
104,SAOUHSC_00390,SAOUHSC_00667
105,SAOUHSC_00317,SAOUHSC_01164
106,SAOUHSC_00402,SAOUHSC_02448
107,SAOUHSC_00094,SAOUHSC_01100
108,SAOUHSC_00769,SAOUHSC_02834
109,SAOUHSC_00728,SAOUHSC_02001
110,SAOUHSC_02762,SAOUHSC_02768
111,SAOUHSC_00094,SAOUHSC_02855
112,SAOUHSC_02729,SAOUHSC_02770
113,SAOUHSC_01228,SAOUHSC_02770
114,SAOUHSC_00640,SAOUHSC_00953
115,SAOUHSC_00812,SAOUHSC_02834
116,SAOUHSC_00230,SAOUHSC_01961
117,SAOUHSC_00146,SAOUHSC_01359
118,SAOUHSC_00228,SAOUHSC_02491
119,SAOUHSC_00015,SAOUHSC_00728
120,SAOUHSC_00694,SAOUHSC_01420
121,SAOUHSC_00015,SAOUHSC_01358
122,SAOUHSC_02851,SAOUHSC_02852
123,SAOUHSC_00064,SAOUHSC_02389
124,SAOUHSC_01129,SAOUHSC_01275
125,SAOUHSC_01327,SAOUHSC_02441
126,SAOUHSC_01352,SAOUHSC_01652
127,SAOUHSC_00105,SAOUHSC_00859
128,SAOUHSC_01275,SAOUHSC_02965
129,SAOUHSC_01121,SAOUHSC_02260
130,SAOUHSC_00060,SAOUHSC_00670
131,SAOUHSC_01658,SAOUHSC_02108
132,SAOUHSC_01420,SAOUHSC_02301
133,SAOUHSC_00812,SAOUHSC_01085
134,SAOUHSC_00644,SAOUHSC_02491
135,SAOUHSC_02562,SAOUHSC_02640
136,SAOUHSC_00122,SAOUHSC_00124
137,SAOUHSC_00467,SAOUHSC_02953
138,SAOUHSC_01939,SAOUHSC_02463
139,SAOUHSC_00818,SAOUHSC_02706
140,SAOUHSC_00638,SAOUHSC_01753
141,SAOUHSC_01272,SAOUHSC_01827
142,SAOUHSC_01263,SAOUHSC_02255
143,SAOUHSC_00666,SAOUHSC_02098
144,SAOUHSC_00502,SAOUHSC_01002
145,SAOUHSC_00206,SAOUHSC_01791
146,SAOUHSC_02300,SAOUHSC_02441
147,SAOUHSC_00099,SAOUHSC_01935
148,SAOUHSC_00868,SAOUHSC_01359
149,SAOUHSC_00670,SAOUHSC_02815
150,SAOUHSC_01100,SAOUHSC_02241
151,SAOUHSC_01361,SAOUHSC_01714
152,SAOUHSC_01149,SAOUHSC_01827
153,SAOUHSC_01941,SAOUHSC_02463
154,SAOUHSC_00314,SAOUHSC_00694
155,SAOUHSC_01938,SAOUHSC_02463
156,SAOUHSC_00486,SAOUHSC_01761
157,SAOUHSC_00099,SAOUHSC_01942
158,SAOUHSC_00670,SAOUHSC_02883
159,SAOUHSC_01879,SAOUHSC_02301
160,SAOUHSC_00694,SAOUHSC_01879
161,SAOUHSC_00300,SAOUHSC_02972
162,SAOUHSC_00118,SAOUHSC_00124
163,SAOUHSC_00006,SAOUHSC_02171
164,SAOUHSC_00099,SAOUHSC_01936
165,SAOUHSC_00801,SAOUHSC_02834
166,SAOUHSC_00314,SAOUHSC_02301
167,SAOUHSC_00804,SAOUHSC_01164
168,SAOUHSC_00118,SAOUHSC_00123
169,SAOUHSC_01164,SAOUHSC_02937
170,SAOUHSC_00638,SAOUHSC_00666
171,SAOUHSC_00099,SAOUHSC_01941
172,SAOUHSC_00228,SAOUHSC_00644
173,SAOUHSC_01807,SAOUHSC_02851
174,SAOUHSC_01936,SAOUHSC_02463
175,SAOUHSC_01263,SAOUHSC_02558
176,SAOUHSC_00099,SAOUHSC_01938
177,SAOUHSC_02298,SAOUHSC_02441
178,SAOUHSC_02301,SAOUHSC_02441
179,SAOUHSC_00666,SAOUHSC_02099
180,SAOUHSC_00694,SAOUHSC_02851
181,SAOUHSC_00230,SAOUHSC_00232
182,SAOUHSC_01316,SAOUHSC_01663
183,SAOUHSC_01391,SAOUHSC_01437
184,SAOUHSC_00608,SAOUHSC_02762
185,SAOUHSC_01100,SAOUHSC_01187
186,SAOUHSC_02762,SAOUHSC_02770
187,SAOUHSC_00674,SAOUHSC_00715
188,SAOUHSC_00300,SAOUHSC_02706
189,SAOUHSC_00934,SAOUHSC_00938
190,SAOUHSC_01652,SAOUHSC_02254
191,SAOUHSC_01935,SAOUHSC_02463
192,SAOUHSC_00638,SAOUHSC_01053
193,SAOUHSC_00728,SAOUHSC_01358
194,SAOUHSC_01942,SAOUHSC_02463
195,SAOUHSC_01082,SAOUHSC_02108
196,SAOUHSC_00882,SAOUHSC_01359
197,SAOUHSC_00780,SAOUHSC_01470
198,SAOUHSC_02562,SAOUHSC_02641
199,SAOUHSC_00317,SAOUHSC_02716
200,SAOUHSC_00608,SAOUHSC_02768
201,SAOUHSC_01939,SAOUHSC_01941
202,SAOUHSC_01346,SAOUHSC_02703
203,SAOUHSC_00229,SAOUHSC_01791
204,SAOUHSC_00666,SAOUHSC_02953
205,SAOUHSC_00190,SAOUHSC_00192
