Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|93061.5.peg.1776,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01952,,fig|93061.5.peg.2607,Protein,"Acyltransferase",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02885,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.1008,Protein,"Thioredoxin",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01100,,fig|93061.5.peg.1157,Protein,"Ribonuclease Y",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01263,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.943,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01030,,fig|93061.5.peg.1008,Protein,"Thioredoxin",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01100,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.802,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00882,,fig|93061.5.peg.910,Protein,"putative membrane protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00991,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.921,Protein,"Chitinase B",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01005,,fig|93061.5.peg.1773,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01949,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.1157,Protein,"Ribonuclease Y",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01263,,fig|93061.5.peg.1313,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01437,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.137,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00146,,fig|93061.5.peg.910,Protein,"putative membrane protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00991,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.810,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00890,,fig|93061.5.peg.1156,Protein,"RecA protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01262,recA,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.1033,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01125,,fig|93061.5.peg.1773,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01949,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.1203,Protein,"Staphylococcus nuclease (SNase) domain",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01316,,fig|93061.5.peg.1969,Protein,"Staphylokinase",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02171,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.1260,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01376,,fig|93061.5.peg.1265,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01382,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.137,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00146,,fig|93061.5.peg.802,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00882,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|93061.5.peg.553,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00617,,fig|93061.5.peg.2582,Protein,"Secretory antigen SsaA",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02855,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
