,interactor1,interactor2
0,NP_459018.1,NP_459428.1
1,NP_459428.1,NP_460031.1
2,NP_459428.1,NP_460284.1
3,NP_459428.1,NP_461748.1
4,NP_459051.1,NP_459428.1
5,NP_459428.1,NP_459640.1
6,NP_459428.1,NP_462418.1
7,NP_459428.1,NP_461367.1
8,NP_459428.1,NP_460671.1
9,NP_459428.1,NP_459720.1
10,NP_459428.1,NP_461265.3
11,NP_459428.1,NP_460529.1
12,NP_459428.1,NP_462917.1
13,NP_461922.1,NP_463220.1
14,NP_459093.1,NP_461019.1
15,NP_459121.1,NP_459122.1
16,NP_459128.1,NP_459360.1
17,NP_459133.1,NP_461583.1
18,NP_459136.1,NP_460942.1
19,NP_459136.1,NP_462974.1
20,NP_459184.1,NP_462799.1
21,NP_459234.1,NP_462078.1
22,NP_459241.1,NP_460802.1
23,NP_459192.1,NP_459319.1
24,NP_459319.1,NP_461376.1
25,NP_459418.1,NP_460840.1
26,NP_459476.1,NP_462799.1
27,NP_459479.1,NP_463336.3
28,NP_459479.1,NP_463413.1
29,NP_459484.1,NP_461392.1
30,NP_460618.1,NP_462126.3
31,NP_461208.1,NP_462126.3
32,NP_460281.1,NP_462126.3
33,NP_462126.3,NP_463345.1
34,NP_461972.1,NP_462022.1
35,NP_462022.1,NP_463147.1
36,NP_460682.1,NP_462825.1
37,NP_460583.1,NP_462825.1
38,NP_460428.1,NP_460770.1
39,NP_462555.1,NP_462556.1
40,NP_459051.1,NP_462783.1
41,NP_459640.1,NP_462783.1
42,NP_461362.1,NP_462783.1
43,NP_460696.1,NP_461042.1
44,NP_460696.1,NP_462812.1
45,NP_459262.1,NP_459479.1
46,NP_459262.1,NP_459638.1
47,NP_459315.1,NP_462137.1
48,NP_460031.1,NP_460536.1
49,NP_460031.1,NP_460720.1
50,NP_460031.1,NP_460538.1
51,NP_460031.1,NP_460718.1
52,NP_460031.1,NP_460536.1
53,NP_460031.1,NP_460720.1
54,NP_460031.1,NP_462133.1
55,NP_462799.1,NP_462825.1
56,NP_460776.1,NP_462123.1
57,NP_459479.1,NP_462400.1
58,NP_462418.1,NP_462781.1
59,NP_460134.1,NP_462418.1
60,NP_462400.1,NP_462418.1
61,NP_459588.1,NP_459912.1
62,NP_459720.1,NP_462400.1
63,NP_460903.1,NP_461957.3
64,NP_460903.1,NP_461892.3
65,NP_459640.1,NP_461362.1
66,NP_460208.1,NP_463050.1
67,NP_463444.1,NP_463445.1
68,NP_461779.3,NP_463444.1
69,NP_461311.1,NP_462239.1
70,NP_459018.1,NP_462418.1
71,NP_460536.1,NP_460538.1
72,NP_460538.1,NP_460720.1
73,NP_460718.1,NP_460720.1
74,NP_459948.1,NP_460423.1
75,NP_460423.1,NP_461581.1
76,NP_460423.1,NP_462155.1
77,NP_462126.3,NP_462929.1
78,NP_462126.3,NP_462930.1
79,NP_447555.1,NP_461042.1
80,NP_447555.1,NP_462812.1
81,NP_462202.3,NP_462211.1
82,NP_461920.1,NP_462362.1
83,NP_460410.1,NP_462400.1
84,NP_460951.1,NP_462777.3
85,NP_460536.1,NP_460718.1
86,NP_460538.1,NP_460720.1
87,NP_460718.1,NP_460720.1
88,NP_459588.1,NP_459589.1
89,NP_460618.1,NP_463050.1
90,NP_461208.1,NP_463050.1
91,NP_461108.1,NP_463050.1
92,NP_462137.1,NP_463050.1
93,NP_460757.1,NP_463050.1
94,NP_459736.1,NP_461576.1
95,NP_460529.1,NP_462914.1
96,NP_462914.1,NP_462917.1
97,NP_459595.1,NP_461227.1
98,NP_459131.1,NP_460576.1
99,NP_460049.1,NP_462825.1
100,NP_459051.1,NP_461362.1
101,NP_460929.1,NP_460930.1
102,NP_461770.1,NP_461779.3
103,NP_459638.1,NP_459851.1
104,NP_460281.1,NP_462929.1
105,NP_460281.1,NP_462930.1
106,NP_460684.1,NP_461218.1
107,NP_460097.1,NP_461218.1
108,NP_460311.1,NP_461218.1
109,NP_460770.1,NP_462400.1
110,NP_459638.1,NP_460770.1
111,NP_460770.1,NP_461763.1
112,NP_460575.1,NP_460770.1
113,NP_460537.1,NP_460538.1
114,NP_460538.1,NP_460719.1
115,NP_460537.1,NP_460718.1
116,NP_460536.1,NP_460538.1
117,NP_460538.1,NP_460720.1
118,NP_460536.1,NP_460718.1
119,NP_460031.1,NP_460537.1
120,NP_460031.1,NP_460719.1
121,NP_460536.1,NP_460537.1
122,NP_460536.1,NP_460719.1
123,NP_460537.1,NP_460720.1
124,NP_460719.1,NP_460720.1
125,NP_460537.1,NP_462133.1
126,NP_460719.1,NP_462133.1
127,NP_461392.1,NP_462418.1
128,NP_461392.1,NP_462400.1
129,NP_461392.1,NP_461417.1
130,NP_459784.1,NP_461392.1
131,NP_461392.1,NP_463345.1
132,NP_459914.1,NP_461392.1
133,NP_460808.1,NP_461392.1
134,NP_461392.1,NP_461394.1
135,NP_460189.1,NP_461149.1
136,NP_460189.1,NP_462757.1
137,NP_460189.1,NP_462993.1
138,NP_459102.1,NP_462556.1
139,NP_461578.1,NP_462195.1
140,NP_460156.1,NP_461578.1
141,NP_459687.1,NP_459688.1
142,NP_459476.1,NP_461234.1
143,NP_459548.1,NP_463314.1
144,NP_461218.1,NP_461973.2
145,NP_461973.2,NP_462743.1
146,NP_461136.1,NP_461928.1
147,NP_462137.1,NP_462870.1
148,NP_459638.1,NP_460884.1
149,NP_459638.1,NP_462128.1
150,NP_459638.1,NP_460171.1
151,NP_460171.1,NP_463336.3
152,NP_463336.3,NP_463413.1
153,NP_462296.1,NP_462825.1
154,NP_462296.1,NP_462556.1
155,NP_462296.1,NP_462781.1
156,NP_462296.1,NP_462305.1
157,NP_462296.1,NP_462567.1
158,NP_459735.1,NP_462296.1
159,NP_460754.1,NP_462296.1
160,NP_460273.1,NP_462296.1
